year,quarter,region,city,weighs,gender,age,work_class,hours_worked_w,tot_income,ed_lvl,med_care,read_write,CH10,CH11,h_ed_lvl,CH13,nationality,PP04A
2023,4,44,17,281,1,34,3,36.0,450000.0,4,1,1,2,0,4,1,1,1.0
2023,4,44,17,281,2,32,3,15.0,200000.0,4,1,1,2,0,4,1,1,2.0
2023,4,44,93,85,1,47,2,60.0,400000.0,2,4,1,2,0,2,1,1,2.0
2023,4,42,26,216,1,33,3,48.0,480000.0,4,1,1,2,0,4,1,1,2.0
2023,4,42,26,115,1,46,1,98.0,120000.0,3,4,1,2,0,4,2,1,2.0
2023,4,42,26,115,1,22,3,70.0,140000.0,4,4,1,2,0,4,1,1,2.0
2023,4,42,26,115,2,20,3,25.0,50000.0,5,4,1,1,1,7,2,1,2.0
2023,4,42,26,146,1,56,3,45.0,500000.0,4,1,1,2,0,4,1,3,2.0
2023,4,42,26,146,2,53,1,30.0,800000.0,4,1,1,2,0,4,1,3,2.0
2023,4,42,26,146,1,28,3,30.0,250000.0,4,4,1,2,0,4,1,1,2.0
2023,4,42,26,146,1,34,3,45.0,450000.0,4,1,1,2,0,4,1,3,2.0
2023,4,42,26,226,2,40,3,20.0,300000.0,6,1,1,2,0,7,1,3,2.0
2023,4,42,26,180,1,34,3,40.0,350000.0,4,1,1,2,0,4,1,3,2.0
2023,4,43,13,1142,2,54,2,56.0,326000.0,5,1,1,1,1,7,2,5,2.0
2023,4,43,13,1142,1,48,3,66.0,450000.0,5,1,1,2,0,6,2,3,2.0
2023,4,43,13,1053,1,37,3,27.0,150000.0,2,4,1,2,0,2,1,1,2.0
2023,4,43,36,157,1,30,2,40.0,500000.0,5,1,1,2,0,6,2,1,2.0
2023,4,43,36,157,2,31,3,30.0,280000.0,6,1,1,2,0,7,1,1,2.0
2023,4,40,18,221,2,27,2,21.0,100000.0,3,4,1,2,0,4,2,1,2.0
2023,4,40,18,221,1,32,3,15.0,30000.0,3,4,1,2,0,4,2,1,1.0
2023,4,40,18,327,1,46,3,40.0,130000.0,3,4,1,2,0,4,2,1,2.0
2023,4,40,29,361,1,51,3,96.0,350000.0,2,12,1,2,0,2,1,1,2.0
2023,4,43,5,367,2,59,3,4.0,70000.0,3,1,1,2,0,4,2,1,2.0
2023,4,43,5,367,1,60,3,36.0,180000.0,2,1,1,2,0,2,1,1,2.0
2023,4,43,30,142,2,48,3,48.0,150000.0,4,1,1,2,0,4,1,1,2.0
2023,4,42,26,135,2,59,3,45.0,400000.0,4,1,1,2,0,4,1,1,2.0
2023,4,42,26,135,1,55,3,54.0,450000.0,2,1,1,2,0,2,1,1,2.0
2023,4,40,18,265,1,63,2,70.0,250000.0,3,1,1,2,0,4,2,1,2.0
